id_cliente,nome,idade,profissao,segmento_comercial,saldo_medio,risco_aml,risco_credito,rentabilidade,nivel_seguranca,perfil_origem
66,Camila Correia,56,Freelancer,Digital,444.28,4,51,154.13,Medio,Jovem Novo Cliente
36,Carminho Esteves,25,Professor,Retalho,54423.71,16,33,3877.72,Medio,Massa Media Estavel
17,Enzo Lima,53,Advogado,Private Banking,3861562.15,13,18,149850.13,Baixo,Premium Baixo Risco
50,Dinis Castro,75,Cambio Informal,Corporate,567809.16,89,31,96713.41,Critico,Alto Risco AML
35,Beatriz Reis,75,Comerciante,Retalho,23224.79,20,45,3849.42,Medio,Massa Media Estavel
8,Fábio Leite,43,Empresario,Private Banking,2984182.84,11,18,98072.15,Baixo,Premium Baixo Risco
96,Ricardo Sousa,67,Seguradora,Corporate / Institucional,13027741.81,33,21,754762.98,Alto,Institucional Alto Valor
28,Kévim Tavares,27,Comerciante,Retalho,76013.65,10,28,4693.72,Medio,Massa Media Estavel
20,Simão Nascimento-Mota,43,Diretor Executivo,Private Banking,2881014.55,0,3,220427.59,Baixo,Premium Baixo Risco
82,Lorena Monteiro,38,Multinacional,Corporate / Institucional,7567123.92,23,15,723120.5,Alto,Institucional Alto Valor
26,Soraia Pinho,42,Funcionario Publico,Retalho,22958.92,12,38,7628.65,Medio,Massa Media Estavel
63,Yara de Maia,68,Estudante,Digital,1911.34,8,55,370.62,Medio,Jovem Novo Cliente
14,Irina Carneiro-Correia,70,Advogado,Private Banking,2305241.54,2,6,278284.03,Baixo,Premium Baixo Risco
25,Victória-Miriam Figueiredo,68,Professor,Retalho,49920.84,20,20,1783.07,Medio,Massa Media Estavel
4,Nair Almeida,60,Diretor Executivo,Private Banking,1491982.8,8,0,239701.84,Baixo,Premium Baixo Risco
18,Yasmin Soares,33,Medico,Private Banking,2792868.32,2,1,265275.73,Baixo,Premium Baixo Risco
39,Brian Mendes-Cruz,53,Comerciante,Retalho,15513.67,10,28,4238.4,Medio,Massa Media Estavel
9,Igor Pacheco,23,Empresario,Private Banking,3475684.93,9,2,263829.43,Baixo,Premium Baixo Risco
79,Mauro Torres,64,Estagiario,Digital,5.07,17,71,359.71,Medio,Jovem Novo Cliente
7,Leandro Abreu,57,Advogado,Private Banking,4132077.23,14,17,81206.54,Baixo,Premium Baixo Risco
65,Lúcia Moura,75,Freelancer,Digital,2711.79,17,51,417.3,Medio,Jovem Novo Cliente
37,Erica-Iara Simões,74,Professor,Retalho,55502.34,25,23,1424.29,Medio,Massa Media Estavel
90,Mariana Anjos,58,Fundo de Investimento,Corporate / Institucional,10197491.03,38,25,948372.17,Alto,Institucional Alto Valor
57,Bruna Matos,64,Consultor Offshore,Corporate,1262187.75,95,50,84051.7,Critico,Alto Risco AML
100,Caetana do Fonseca,40,Seguradora,Corporate / Institucional,18074482.99,12,9,396079.86,Alto,Institucional Alto Valor
55,Ema Neto,32,Cambio Informal,Corporate,603880.79,99,41,133320.98,Critico,Alto Risco AML
44,José de Amorim,69,Consultor Offshore,Corporate,641973.53,92,60,112270.74,Critico,Alto Risco AML
51,Wilson Miranda,45,Cambio Informal,Corporate,1208977.35,86,40,140858.88,Critico,Alto Risco AML
68,Andreia Vaz-Ramos,25,Estagiario,Digital,2340.35,13,69,374.74,Medio,Jovem Novo Cliente
47,Carlota Machado,22,Importador/Exportador,Corporate,1209937.43,86,59,129380.78,Critico,Alto Risco AML
69,Emanuel Fonseca,34,Estudante,Digital,2928.62,5,78,206.15,Medio,Jovem Novo Cliente
62,Simão Cunha,22,Estudante,Digital,1902.85,8,51,1.77,Medio,Jovem Novo Cliente
98,Lorena-Mia Garcia,67,Fundo de Investimento,Corporate / Institucional,17117531.98,18,21,829976.12,Alto,Institucional Alto Valor
80,Rita Almeida-Lima,66,Freelancer,Digital,2011.89,11,63,34.99,Medio,Jovem Novo Cliente
42,Mafalda Oliveira,29,Consultor Offshore,Corporate,1022718.14,76,57,66145.64,Critico,Alto Risco AML
59,Lucas Oliveira,27,Consultor Offshore,Corporate,319314.47,73,53,87451.31,Critico,Alto Risco AML
49,Salvador Nogueira,57,Importador/Exportador,Corporate,1382903.85,77,42,26784.13,Critico,Alto Risco AML
99,Bruna Cunha,34,Seguradora,Corporate / Institucional,9917706.68,32,14,504841.65,Alto,Institucional Alto Valor
58,David Mota-Santos,61,Cambio Informal,Corporate,668819.63,91,33,141450.2,Critico,Alto Risco AML
76,Leandro Borges,26,Estagiario,Digital,535.7,8,51,54.2,Medio,Jovem Novo Cliente
33,Joel Silva,22,Enfermeiro,Retalho,10055.02,6,30,1496.0,Medio,Massa Media Estavel
95,Daniel Campos-Assunção,48,Multinacional,Corporate / Institucional,11560373.95,27,24,612487.34,Alto,Institucional Alto Valor
60,Petra-Victória Sá,36,Consultor Offshore,Corporate,1249176.67,92,40,38503.62,Critico,Alto Risco AML
64,Lia Cruz,54,Freelancer,Digital,1283.06,0,53,37.62,Medio,Jovem Novo Cliente
85,Naiara de Sousa,38,Seguradora,Corporate / Institucional,5783288.33,35,23,988660.04,Alto,Institucional Alto Valor
38,Martim Martins,65,Funcionario Publico,Retalho,65044.44,8,27,2341.13,Medio,Massa Media Estavel
30,Débora Lopes,31,Funcionario Publico,Retalho,34924.42,26,40,3613.94,Medio,Massa Media Estavel
2,Érica da Pinto,66,Empresario,Private Banking,3545147.69,2,18,155480.45,Baixo,Premium Baixo Risco
53,Ângela Nunes,61,Cambio Informal,Corporate,669994.45,80,59,115261.03,Critico,Alto Risco AML
22,Lourenço Tavares,29,Comerciante,Retalho,5243.4,28,43,2843.72,Medio,Massa Media Estavel
3,Edgar de Cruz,20,Empresario,Private Banking,1483870.89,0,17,99709.41,Baixo,Premium Baixo Risco
24,Camila Coelho-Reis,59,Enfermeiro,Retalho,16462.95,29,25,4775.65,Medio,Massa Media Estavel
88,Diogo Magalhães-Castro,59,Multinacional,Corporate / Institucional,8033388.6,36,12,1074634.37,Alto,Institucional Alto Valor
92,Emília Castro,63,Fundo de Investimento,Corporate / Institucional,18067876.87,37,8,1211946.53,Alto,Institucional Alto Valor
75,Salomé Gonçalves,44,Freelancer,Digital,2943.45,17,60,469.62,Medio,Jovem Novo Cliente
87,Sebastião Esteves,69,Multinacional,Corporate / Institucional,5054445.13,12,14,870087.61,Alto,Institucional Alto Valor
83,Vítor Valente,37,Multinacional,Corporate / Institucional,4291180.38,23,17,1080513.33,Alto,Institucional Alto Valor
21,Gabriela Borges,53,Funcionario Publico,Retalho,62644.9,15,23,3054.5,Medio,Massa Media Estavel
61,Jorge do Ferreira,59,Estagiario,Digital,1516.23,8,78,454.08,Medio,Jovem Novo Cliente
72,Sérgio Azevedo,73,Estagiario,Digital,667.3,14,61,152.6,Medio,Jovem Novo Cliente
15,Luís Domingues,55,Advogado,Private Banking,1456819.45,15,12,271170.79,Baixo,Premium Baixo Risco
93,Vera Amaral,33,Fundo de Investimento,Corporate / Institucional,16473977.41,32,21,803914.85,Alto,Institucional Alto Valor
52,Tiago Pacheco,32,Cambio Informal,Corporate,1460764.42,77,38,65410.02,Critico,Alto Risco AML
